data_dir,method,beam_width,alpha,beta,temperature,lm_model_path,n_samples,wer,cer,avg_sample_time_sec,file
data/earnings22_test,beam_lm,10,0.01,0.0,1.0,lm/financial/earnings_3gram.arpa,200,0.5352409638554216,0.2531898788927336,0.24829035997390747,earnings_financial_lm.json
data/earnings22_test,beam_lm,10,0.01,0.0,1.2,lm/3-gram.pruned.1e-7.arpa.gz,200,0.5445783132530121,0.25356833910034604,0.2807360994815826,earnings_beam_lm_temp_1.2.json
data/earnings22_test,beam_lm,10,0.01,0.0,0.8,lm/3-gram.pruned.1e-7.arpa.gz,200,0.5457831325301205,0.25448745674740486,0.28575997591018676,earnings_beam_lm_temp_0.8.json
data/earnings22_test,beam_lm,10,0.01,0.0,1.5,lm/3-gram.pruned.1e-7.arpa.gz,200,0.5460843373493975,0.2544333910034602,0.2794657909870148,earnings_beam_lm_temp_1.5.json
data/earnings22_test,beam_lm,10,0.01,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.547289156626506,0.2538386678200692,0.28264711022377015,earnings_beam_lm_temp_1.0.json
data/earnings22_test,beam_lm,10,0.01,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.547289156626506,0.2538386678200692,0.2394988250732422,earnings_best_beam_lm.json
data/earnings22_test,beam_lm,10,0.01,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.547289156626506,0.2538386678200692,0.24070415139198303,earnings_general_lm.json
data/earnings22_test,beam_lm,10,0.01,0.0,0.5,lm/3-gram.pruned.1e-7.arpa.gz,200,0.5490963855421687,0.2554065743944637,0.27825760006904604,earnings_beam_lm_temp_0.5.json
data/earnings22_test,beam_lm,10,0.01,0.0,2.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.5566265060240964,0.25567690311418684,0.28659217596054076,earnings_beam_lm_temp_2.0.json
data/earnings22_test,beam_lm_rescore,10,0.05,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.5533132530120481,0.2538386678200692,0.11828626036643981,earnings_best_rescore.json
data/earnings22_test,greedy,10,0.5,0.5,0.5,,200,0.5496987951807228,0.25578503460207613,0.0975298261642456,earnings_greedy_temp_0.5.json
data/earnings22_test,greedy,10,0.5,0.5,0.8,,200,0.5496987951807228,0.25578503460207613,0.10448771476745605,earnings_greedy_temp_0.8.json
data/earnings22_test,greedy,10,0.5,0.5,1.0,,200,0.5496987951807228,0.25578503460207613,0.12469786524772644,earnings_greedy_temp_1.0.json
data/earnings22_test,greedy,10,0.5,0.5,1.2,,200,0.5496987951807228,0.25578503460207613,0.1373938488960266,earnings_greedy_temp_1.2.json
data/earnings22_test,greedy,10,0.5,0.5,1.5,,200,0.5496987951807228,0.25578503460207613,0.13684519052505492,earnings_greedy_temp_1.5.json
data/earnings22_test,greedy,10,0.5,0.5,2.0,,200,0.5496987951807228,0.25578503460207613,0.1294345450401306,earnings_greedy_temp_2.0.json
data/librispeech_test_other,beam,10,0.5,0.5,1.0,,200,0.1107308726472745,0.03769197228816433,0.14305574893951417,librispeech_beam_bw_10.json
data/librispeech_test_other,beam,50,0.5,0.5,1.0,,200,0.1109753116597409,0.03769197228816433,0.6482017254829406,librispeech_beam_bw_50.json
data/librispeech_test_other,beam,3,0.5,0.5,1.0,,200,0.11170862869714006,0.03788576134877186,0.11730034112930297,librispeech_beam_bw_3.json
data/librispeech_test_other,beam,1,0.5,0.5,1.0,,200,0.11219750672207285,0.038127997674531275,0.12099872946739197,librispeech_beam_bw_1.json
data/librispeech_test_other,beam_lm,10,0.01,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11024199462234173,0.03769197228816433,0.31768679022789004,librispeech_beam_lm_a_0.01_b_0.0.json
data/librispeech_test_other,beam_lm,10,0.01,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11024199462234173,0.03769197228816433,0.3156779205799103,librispeech_general_lm.json
data/librispeech_test_other,beam_lm,10,0.01,0.0,1.0,lm/financial/earnings_3gram.arpa,200,0.11341970178440479,0.0383217867351388,0.3121841645240784,librispeech_financial_lm.json
data/librispeech_test_other,beam_lm,10,0.05,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11488633585920313,0.03841868126544257,0.3141749060153961,librispeech_beam_lm_a_0.05_b_0.0.json
data/librispeech_test_other,beam_lm,10,0.1,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.12050843314593009,0.03938762656848021,0.31409757971763613,librispeech_beam_lm_a_0.1_b_0.0.json
data/librispeech_test_other,beam_lm,10,0.5,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1676851625519433,0.05179012644736205,0.35588920474052427,librispeech_beam_lm_a_0.5_b_0.5.json
data/librispeech_test_other,beam_lm,10,2.0,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.19970667318504035,0.05048205028826123,0.3587646996974945,librispeech_beam_lm_a_2.0_b_1.5.json
data/librispeech_test_other,beam_lm,10,1.0,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.35321437301393305,0.07145971609902621,0.34809036016464234,librispeech_beam_lm_a_1.0_b_0.5.json
data/librispeech_test_other,beam_lm,10,0.5,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.4446345636763627,0.08715663000823604,0.32793362021446226,librispeech_beam_lm_a_0.5_b_0.0.json
data/librispeech_test_other,beam_lm,10,1.0,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.4859447567831826,0.14253185407683736,0.37155253529548643,librispeech_beam_lm_a_1.0_b_1.0.json
data/librispeech_test_other,beam_lm,10,1.0,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.7467611830848203,0.1438399302359382,0.3270896303653717,librispeech_beam_lm_a_1.0_b_0.0.json
data/librispeech_test_other,beam_lm,10,2.0,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.7665607430945979,0.14558403178140594,0.3310284507274628,librispeech_beam_lm_a_2.0_b_1.0.json
data/librispeech_test_other,beam_lm,10,2.0,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.9068687362503055,0.18361513492563344,0.3186338996887207,librispeech_beam_lm_a_2.0_b_0.5.json
data/librispeech_test_other,beam_lm,10,2.0,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.9464678562698606,0.19693813284240105,0.3183968102931976,librispeech_beam_lm_a_2.0_b_0.0.json
data/librispeech_test_other,beam_lm,10,5.0,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.9987778049376681,0.22503754663049272,0.31106040000915525,librispeech_beam_lm_a_5.0_b_1.0.json
data/librispeech_test_other,beam_lm,10,5.0,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.9987778049376681,0.22503754663049272,0.31359644055366515,librispeech_beam_lm_a_5.0_b_1.5.json
data/librispeech_test_other,beam_lm,10,5.0,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.9992666829626008,0.22513444116079648,0.30913094997406004,librispeech_beam_lm_a_5.0_b_0.0.json
data/librispeech_test_other,beam_lm,10,5.0,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.9992666829626008,0.22513444116079648,0.30644973993301394,librispeech_beam_lm_a_5.0_b_0.5.json
data/librispeech_test_other,beam_lm,10,0.1,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,1.1539965778538255,0.35129111961629766,0.3772933351993561,librispeech_beam_lm_a_0.1_b_0.5.json
data/librispeech_test_other,beam_lm,10,0.05,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,1.3070153996577853,0.398042730487864,0.3806110191345215,librispeech_beam_lm_a_0.05_b_0.5.json
data/librispeech_test_other,beam_lm,10,0.01,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,1.402102175507211,0.42856450753354974,0.3872949802875519,librispeech_beam_lm_a_0.01_b_0.5.json
data/librispeech_test_other,beam_lm,10,0.5,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,1.593497922268394,0.4938714209582869,0.44108278036117554,librispeech_beam_lm_a_0.5_b_1.0.json
data/librispeech_test_other,beam_lm,10,1.0,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,1.7350281104864336,0.5397994283222712,0.46057589411735533,librispeech_beam_lm_a_1.0_b_1.5.json
data/librispeech_test_other,beam_lm,10,0.1,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,2.3383035932534835,0.7179400222857419,0.46908881545066833,librispeech_beam_lm_a_0.1_b_1.0.json
data/librispeech_test_other,beam_lm,10,0.05,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,2.434123686140308,0.7451189380359479,0.4468226206302643,librispeech_beam_lm_a_0.05_b_1.0.json
data/librispeech_test_other,beam_lm,10,0.01,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,2.4942556832070397,0.7645462913618526,0.45083850502967837,librispeech_beam_lm_a_0.01_b_1.0.json
data/librispeech_test_other,beam_lm,10,0.5,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,2.5438768027377168,0.7752531369604185,0.49199176907539366,librispeech_beam_lm_a_0.5_b_1.5.json
data/librispeech_test_other,beam_lm,10,0.1,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,3.019310681984845,0.9186570418099899,0.49803157567977907,librispeech_beam_lm_a_0.1_b_1.5.json
data/librispeech_test_other,beam_lm,10,0.05,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,3.073331703739917,0.9334819049464658,0.4812959313392639,librispeech_beam_lm_a_0.05_b_1.5.json
data/librispeech_test_other,beam_lm,10,0.01,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,3.125397213395258,0.9463204302117145,0.486670560836792,librispeech_beam_lm_a_0.01_b_1.5.json
data/librispeech_test_other,beam_lm_rescore,10,0.01,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.10999755560987534,0.03740128869725304,0.1808096194267273,librispeech_rescore_a_0.01_b_1.5.json
data/librispeech_test_other,beam_lm_rescore,10,0.05,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.10999755560987534,0.03740128869725304,0.18078992009162903,librispeech_rescore_a_0.05_b_1.5.json
data/librispeech_test_other,beam_lm_rescore,10,0.1,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.10999755560987534,0.037449735962404924,0.18135894060134888,librispeech_rescore_a_0.1_b_1.5.json
data/librispeech_test_other,beam_lm_rescore,10,1.0,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.10999755560987534,0.03759507775786057,0.1804377794265747,librispeech_rescore_a_1.0_b_1.0.json
data/librispeech_test_other,beam_lm_rescore,10,0.01,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11024199462234173,0.037546630492708684,0.18481141448020935,librispeech_rescore_a_0.01_b_0.5.json
data/librispeech_test_other,beam_lm_rescore,10,0.05,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11024199462234173,0.037546630492708684,0.17871471166610717,librispeech_rescore_a_0.05_b_0.5.json
data/librispeech_test_other,beam_lm_rescore,10,0.1,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11024199462234173,0.037546630492708684,0.18088653922080994,librispeech_rescore_a_0.1_b_0.5.json
data/librispeech_test_other,beam_lm_rescore,10,0.5,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11024199462234173,0.037546630492708684,0.1912728750705719,librispeech_rescore_a_0.5_b_1.0.json
data/librispeech_test_other,beam_lm_rescore,10,0.5,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1107308726472745,0.03759507775786057,0.19021424531936645,librispeech_rescore_a_0.5_b_1.5.json
data/librispeech_test_other,beam_lm_rescore,10,0.01,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1107308726472745,0.03769197228816433,0.1829827308654785,librispeech_rescore_a_0.01_b_0.0.json
data/librispeech_test_other,beam_lm_rescore,10,0.05,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1107308726472745,0.03769197228816433,0.1794801700115204,librispeech_rescore_a_0.05_b_0.0.json
data/librispeech_test_other,beam_lm_rescore,10,0.1,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1107308726472745,0.03769197228816433,0.18546783924102783,librispeech_rescore_a_0.1_b_0.0.json
data/librispeech_test_other,beam_lm_rescore,10,0.5,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1107308726472745,0.03769197228816433,0.18631357073783875,librispeech_rescore_a_0.5_b_0.5.json
data/librispeech_test_other,beam_lm_rescore,10,2.0,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1107308726472745,0.03769197228816433,0.18196248412132263,librispeech_rescore_a_2.0_b_1.5.json
data/librispeech_test_other,beam_lm_rescore,10,1.0,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1107308726472745,0.037740419553316217,0.18237419486045836,librispeech_rescore_a_1.0_b_0.5.json
data/librispeech_test_other,beam_lm_rescore,10,0.01,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1109753116597409,0.03759507775786057,0.18186141133308412,librispeech_rescore_a_0.01_b_1.0.json
data/librispeech_test_other,beam_lm_rescore,10,0.05,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1109753116597409,0.03759507775786057,0.18235479831695556,librispeech_rescore_a_0.05_b_1.0.json
data/librispeech_test_other,beam_lm_rescore,10,0.1,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1109753116597409,0.03759507775786057,0.1804138946533203,librispeech_rescore_a_0.1_b_1.0.json
data/librispeech_test_other,beam_lm_rescore,10,1.0,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.1109753116597409,0.03759507775786057,0.18226632595062256,librispeech_rescore_a_1.0_b_1.5.json
data/librispeech_test_other,beam_lm_rescore,10,0.5,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11219750672207285,0.03788576134877186,0.18089699625968933,librispeech_rescore_a_0.5_b_0.0.json
data/librispeech_test_other,beam_lm_rescore,10,2.0,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11268638474700562,0.03793420861392374,0.18207430481910705,librispeech_rescore_a_2.0_b_1.0.json
data/librispeech_test_other,beam_lm_rescore,10,1.0,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11341970178440479,0.03803110314422751,0.1823151206970215,librispeech_rescore_a_1.0_b_0.0.json
data/librispeech_test_other,beam_lm_rescore,10,2.0,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11366414079687118,0.03807955040937939,0.18621886968612672,librispeech_rescore_a_2.0_b_0.5.json
data/librispeech_test_other,beam_lm_rescore,10,2.0,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11513077487166952,0.0383217867351388,0.18568423509597778,librispeech_rescore_a_2.0_b_0.0.json
data/librispeech_test_other,beam_lm_rescore,10,5.0,1.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11684184795893425,0.03851557579574633,0.18690210938453675,librispeech_rescore_a_5.0_b_1.5.json
data/librispeech_test_other,beam_lm_rescore,10,5.0,1.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11806404302126619,0.03866091759120198,0.18794527411460876,librispeech_rescore_a_5.0_b_1.0.json
data/librispeech_test_other,beam_lm_rescore,10,5.0,0.5,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.11830848203373258,0.038806259386657625,0.18238762140274048,librispeech_rescore_a_5.0_b_0.5.json
data/librispeech_test_other,beam_lm_rescore,10,5.0,0.0,1.0,lm/3-gram.pruned.1e-7.arpa.gz,200,0.12124175018332926,0.03909694297756892,0.1824890148639679,librispeech_rescore_a_5.0_b_0.0.json
data/librispeech_test_other,greedy,10,0.5,0.5,0.5,,200,0.11219750672207285,0.038127997674531275,0.11545594453811646,librispeech_greedy_temp_0.5.json
data/librispeech_test_other,greedy,10,0.5,0.5,0.8,,200,0.11219750672207285,0.038127997674531275,0.11313641428947449,librispeech_greedy_temp_0.8.json
data/librispeech_test_other,greedy,10,0.5,0.5,1.0,,200,0.11219750672207285,0.038127997674531275,0.1150396203994751,librispeech_greedy_temp_1.0.json
data/librispeech_test_other,greedy,10,0.5,0.5,1.2,,200,0.11219750672207285,0.038127997674531275,0.11300247430801391,librispeech_greedy_temp_1.2.json
data/librispeech_test_other,greedy,10,0.5,0.5,1.5,,200,0.11219750672207285,0.038127997674531275,0.11247069597244262,librispeech_greedy_temp_1.5.json
data/librispeech_test_other,greedy,10,0.5,0.5,2.0,,200,0.11219750672207285,0.038127997674531275,0.11260878920555115,librispeech_greedy_temp_2.0.json
